artist_name,artist_popularity,artist_followers,artist_image_url,track_name,duration_min,popularity,release_date,genres,collaborators,album_cover_url,date_gathered,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Taylor Swift,100,125041573,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,Cruel Summer,2.97,89,2019-08-23,['pop'],[],https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2024-11-04,Top Track,0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427.0,4.0
Taylor Swift,100,125041573,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,Fortnight (feat. Post Malone),3.82,85,2024-04-18,['pop'],['Post Malone'],https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33,2024-11-04,Top Track,0.504,0.386,11.0,-10.976,1.0,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,228965.0,4.0
Taylor Swift,100,125041573,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,august,4.37,84,2020-07-24,['pop'],[],https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,2024-11-04,Top Track,0.532,0.623,5.0,-9.208,1.0,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923.0,4.0
Taylor Swift,100,125041573,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,Lover,3.69,84,2019-08-23,['pop'],[],https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2024-11-04,Top Track,0.359,0.543,7.0,-7.582,1.0,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307.0,4.0
Taylor Swift,100,125041573,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,I Can Do It With a Broken Heart,3.63,83,2024-04-18,['pop'],[],https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33,2024-11-04,Top Track,0.701,0.751,0.0,-8.39,1.0,0.0502,0.123,0.0,0.15,0.22,129.994,218005.0,4.0
Taylor Swift,100,125041573,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,cardigan,3.99,83,2020-07-24,['pop'],[],https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,2024-11-04,Top Track,0.613,0.581,0.0,-8.588,0.0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560.0,4.0
Taylor Swift,100,125041573,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,Anti-Hero,3.34,82,2022-10-21,['pop'],[],https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,2024-11-04,Top Track,0.633,0.648,4.0,-6.645,1.0,0.062,0.121,2.62e-06,0.161,0.49,96.888,200690.0,4.0
Taylor Swift,100,125041573,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,Don’t Blame Me,3.94,82,2017-11-10,['pop'],[],https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,2024-11-04,Top Track,0.615,0.534,9.0,-6.719,0.0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413.0,4.0
Taylor Swift,100,125041573,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,Guilty as Sin?,4.24,77,2024-04-18,['pop'],[],https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33,2024-11-04,Top Track,0.626,0.428,2.0,-8.374,1.0,0.0261,0.607,0.0,0.0921,0.487,94.95,254366.0,3.0
Taylor Swift,100,125041573,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,Blank Space,3.86,69,2014-10-27,['pop'],[],https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,2024-11-04,Top Track,0.753,0.678,5.0,-5.421,1.0,0.0644,0.085,1.64e-06,0.13,0.583,96.006,231827.0,4.0
Drake,96,93083744,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,One Dance,2.9,85,2016-05-06,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']","['Wizkid', 'Kyla']",https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,2024-11-04,Top Track,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987.0,4.0
Drake,96,93083744,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,WAIT FOR U (feat. Drake & Tems),3.16,82,2022-04-29,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']","['Future', 'Tems']",https://i.scdn.co/image/ab67616d0000b27386badd635b69aea887862214,2024-11-04,Top Track,0.463,0.642,1.0,-4.474,1.0,0.34,0.314,0.0,0.0686,0.339,83.389,189893.0,4.0
Drake,96,93083744,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,God's Plan,3.32,81,2018-06-29,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",[],https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,2024-11-04,Top Track,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973.0,4.0
Drake,96,93083744,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,Passionfruit,4.98,80,2017-03-18,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",[],https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700,2024-11-04,Top Track,0.809,0.463,11.0,-11.377,1.0,0.0396,0.256,0.085,0.109,0.364,111.98,298941.0,4.0
Drake,96,93083744,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,Jimmy Cooks (feat. 21 Savage),3.64,80,2022-06-17,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",['21 Savage'],https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,2024-11-04,Top Track,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365.0,4.0
Drake,96,93083744,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,Circadian Rhythm,2.11,79,2024-08-30,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",[],https://i.scdn.co/image/ab67616d0000b273e955f0f0a0471ace604ecdf6,2024-11-04,Top Track,0.694,0.574,1.0,-6.144,0.0,0.0483,0.193,0.0,0.082,0.286,146.007,126356.0,4.0
Drake,96,93083744,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,No Face,2.29,79,2024-08-31,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",[],https://i.scdn.co/image/ab67616d0000b273cf05fc616cf7e38c0e52b888,2024-11-04,Top Track,0.853,0.69,10.0,-5.858,1.0,0.0647,0.0771,0.0,0.0835,0.471,125.951,137143.0,4.0
Drake,96,93083744,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,Rich Baby Daddy (feat. Sexyy Red & SZA),5.32,79,2023-10-06,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']","['Sexyy Red', 'SZA']",https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,2024-11-04,Top Track,0.636,0.729,2.0,-4.495,1.0,0.055,0.0458,0.0,0.384,0.141,146.009,319192.0,4.0
Drake,96,93083744,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,Fair Trade (with Travis Scott),4.85,78,2021-09-03,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",['Travis Scott'],https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f,2024-11-04,Top Track,0.666,0.465,1.0,-8.545,1.0,0.26,0.0503,0.0,0.215,0.292,167.937,291175.0,4.0
Drake,96,93083744,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,It's Up (feat. Young Thug & 21 Savage),4.63,77,2024-08-30,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']","['Young Thug', '21 Savage']",https://i.scdn.co/image/ab67616d0000b273e955f0f0a0471ace604ecdf6,2024-11-04,Top Track,0.783,0.723,1.0,-4.881,1.0,0.135,0.0264,0.0,0.159,0.294,139.942,278001.0,4.0
The Weeknd,96,93735064,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,Timeless (with Playboi Carti),4.27,92,2024-09-27,"['canadian contemporary r&b', 'canadian pop', 'pop']",['Playboi Carti'],https://i.scdn.co/image/ab67616d0000b273ee2fe4a7b285d3817b470859,2024-11-04,Top Track,0.769,0.722,11.0,-5.485,0.0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,256000.0,4.0
The Weeknd,96,93735064,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,"One Of The Girls (with JENNIE, Lily Rose Depp)",4.08,90,2023-06-23,"['canadian contemporary r&b', 'canadian pop', 'pop']","['JENNIE', 'Lily-Rose Depp']",https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262,2024-11-04,Top Track,0.264,0.64,8.0,-6.221,1.0,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,244685.0,4.0
The Weeknd,96,93735064,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,Blinding Lights,3.33,88,2020-03-20,"['canadian contemporary r&b', 'canadian pop', 'pop']",[],https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2024-11-04,Top Track,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,200040.0,4.0
The Weeknd,96,93735064,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,Starboy,3.84,87,2016-11-25,"['canadian contemporary r&b', 'canadian pop', 'pop']",['Daft Punk'],https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,2024-11-04,Top Track,0.679,0.587,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453.0,4.0
The Weeknd,96,93735064,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,Dancing In The Flames,3.67,85,2024-09-13,"['canadian contemporary r&b', 'canadian pop', 'pop']",[],https://i.scdn.co/image/ab67616d0000b273f0e9b93cadbeb4d0227a59eb,2024-11-04,Top Track,0.552,0.73,1.0,-6.203,1.0,0.0381,0.0011,0.0,0.0837,0.162,116.875,220037.0,4.0
The Weeknd,96,93735064,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,Die For You,4.34,84,2016-11-24,"['canadian contemporary r&b', 'canadian pop', 'pop']",[],https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,2024-11-04,Top Track,0.586,0.525,1.0,-7.163,0.0,0.0615,0.111,0.0,0.134,0.508,133.629,260253.0,4.0
The Weeknd,96,93735064,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,Save Your Tears,3.59,84,2020-03-20,"['canadian contemporary r&b', 'canadian pop', 'pop']",[],https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2024-11-04,Top Track,0.679,0.825,0.0,-5.487,1.0,0.0309,0.0212,1.21e-05,0.543,0.644,118.049,215627.0,4.0
The Weeknd,96,93735064,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,The Hills,4.04,84,2015-08-28,"['canadian contemporary r&b', 'canadian pop', 'pop']",[],https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,2024-11-04,Top Track,0.585,0.564,0.0,-7.063,0.0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253.0,4.0
